"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30062","Login dataset #2 - user2@example.com","firefox","Thu Aug 28 14:03:48 IST 2025","broken","Thu Aug 28 14:04:18 IST 2025","Data Driven Login Tests","data-driven.spec.js","",""
"","35076","Login check for user2@example.com","firefox","Thu Aug 28 14:04:20 IST 2025","broken","Thu Aug 28 14:04:55 IST 2025","Simple JSON Data Driven Test","simple-data-driven.spec.js","",""
"","7830","Login dataset #1 - tomsmith","chromium","Thu Aug 28 16:09:05 IST 2025","passed","Thu Aug 28 16:09:13 IST 2025","Data Driven Login Tests","data-driven.spec.js","",""
"","10264","Login dataset #1 - tomsmith","firefox","Thu Aug 28 16:09:05 IST 2025","passed","Thu Aug 28 16:09:15 IST 2025","Data Driven Login Tests","data-driven.spec.js","",""
"","11535","Login check for tomsmith","webkit","Thu Aug 28 16:09:23 IST 2025","passed","Thu Aug 28 16:09:35 IST 2025","Simple JSON Data Driven Test","simple-data-driven.spec.js","",""
"","11449","Login test [4] for user2@test.com","firefox","Wed Aug 27 22:20:55 IST 2025","failed","Wed Aug 27 22:21:07 IST 2025","Data Driven Login Tests","login.spec.js","",""
"","12941","Login dataset #2 - user1@example.com","firefox","Thu Aug 28 16:09:05 IST 2025","passed","Thu Aug 28 16:09:18 IST 2025","Data Driven Login Tests","data-driven.spec.js","",""
"","15302","Login test [1] for user1@test.com","firefox","Wed Aug 27 22:20:37 IST 2025","failed","Wed Aug 27 22:20:53 IST 2025","Data Driven Login Tests","login.spec.js","",""
"","14195","Login test [2] for user2@test.com","firefox","Wed Aug 27 22:20:37 IST 2025","failed","Wed Aug 27 22:20:51 IST 2025","Data Driven Login Tests","login.spec.js","",""
"","7790","Login check for tomsmith","chromium","Thu Aug 28 16:09:05 IST 2025","passed","Thu Aug 28 16:09:13 IST 2025","Simple JSON Data Driven Test","simple-data-driven.spec.js","",""
"","30066","Login check for user2@example.com","webkit","Thu Aug 28 14:04:24 IST 2025","broken","Thu Aug 28 14:04:54 IST 2025","Simple JSON Data Driven Test","simple-data-driven.spec.js","",""
"","3437","Basic test to verify Playwright setup","firefox","Thu Aug 28 13:45:42 IST 2025","passed","Thu Aug 28 13:45:45 IST 2025","Setup Verification","data-driven.spec.js","",""
"","30051","Login dataset #2 - user2@example.com","webkit","Thu Aug 28 14:04:20 IST 2025","broken","Thu Aug 28 14:04:50 IST 2025","Data Driven Login Tests","data-driven.spec.js","",""
"","15958","Login test [4] for user2@test.com","chromium","Wed Aug 27 22:20:37 IST 2025","failed","Wed Aug 27 22:20:53 IST 2025","Data Driven Login Tests","login.spec.js","",""
"","11381","Login test [3] for user1@test.com","firefox","Wed Aug 27 22:20:54 IST 2025","failed","Wed Aug 27 22:21:06 IST 2025","Data Driven Login Tests","login.spec.js","",""
"","2338","Basic test to verify Playwright setup","webkit","Thu Aug 28 13:45:42 IST 2025","passed","Thu Aug 28 13:45:44 IST 2025","Setup Verification","data-driven.spec.js","",""
"","10310","Login test [3] for user1@test.com","webkit","Wed Aug 27 22:20:57 IST 2025","failed","Wed Aug 27 22:21:07 IST 2025","Data Driven Login Tests","login.spec.js","",""
"","60120","Customer login validation","firefox","Thu Aug 28 16:07:10 IST 2025","broken","Thu Aug 28 16:08:10 IST 2025","Multi-Browser Role Tests","multiBrowser.spec.js","",""
"","9398","Guest login validation","chromium","Thu Aug 28 16:06:57 IST 2025","passed","Thu Aug 28 16:07:06 IST 2025","Multi-Browser Role Tests","multiBrowser.spec.js","",""
"","60082","Guest login validation","firefox","Thu Aug 28 16:07:13 IST 2025","broken","Thu Aug 28 16:08:14 IST 2025","Multi-Browser Role Tests","multiBrowser.spec.js","",""
"","14563","Login test [3] for user1@test.com","chromium","Wed Aug 27 22:20:37 IST 2025","failed","Wed Aug 27 22:20:52 IST 2025","Data Driven Login Tests","login.spec.js","",""
"","8717","Guest login validation","webkit","Thu Aug 28 16:08:03 IST 2025","passed","Thu Aug 28 16:08:11 IST 2025","Multi-Browser Role Tests","multiBrowser.spec.js","",""
"","7195","Login check for user1@example.com","chromium","Thu Aug 28 16:09:05 IST 2025","passed","Thu Aug 28 16:09:12 IST 2025","Simple JSON Data Driven Test","simple-data-driven.spec.js","",""
"","30053","Login dataset #1 - user1@example.com","webkit","Thu Aug 28 14:04:20 IST 2025","broken","Thu Aug 28 14:04:50 IST 2025","Data Driven Login Tests","data-driven.spec.js","",""
"","15373","Login test [2] for user2@test.com","chromium","Wed Aug 27 22:20:37 IST 2025","failed","Wed Aug 27 22:20:53 IST 2025","Data Driven Login Tests","login.spec.js","",""
"","18992","Login check for user1@example.com","firefox","Thu Aug 28 16:09:16 IST 2025","passed","Thu Aug 28 16:09:35 IST 2025","Simple JSON Data Driven Test","simple-data-driven.spec.js","",""
"","30128","Login dataset #1 - user1@example.com","firefox","Thu Aug 28 14:03:48 IST 2025","broken","Thu Aug 28 14:04:18 IST 2025","Data Driven Login Tests","data-driven.spec.js","",""
"","9611","Login dataset #1 - tomsmith","webkit","Thu Aug 28 16:09:16 IST 2025","passed","Thu Aug 28 16:09:26 IST 2025","Data Driven Login Tests","data-driven.spec.js","",""
"","2257","Basic test to verify Playwright setup","chromium","Thu Aug 28 13:45:42 IST 2025","passed","Thu Aug 28 13:45:44 IST 2025","Setup Verification","data-driven.spec.js","",""
"","11180","Login dataset #2 - user1@example.com","webkit","Thu Aug 28 16:09:18 IST 2025","passed","Thu Aug 28 16:09:29 IST 2025","Data Driven Login Tests","data-driven.spec.js","",""
"","6","No test data available","firefox","Thu Aug 28 13:45:42 IST 2025","failed","Thu Aug 28 13:45:42 IST 2025","Data-Driven Login Tests with JSON","data-driven.spec.js","",""
"","11984","Login test [4] for user2@test.com","webkit","Wed Aug 27 22:20:58 IST 2025","failed","Wed Aug 27 22:21:10 IST 2025","Data Driven Login Tests","login.spec.js","",""
"","5","No test data available","chromium","Thu Aug 28 13:45:42 IST 2025","failed","Thu Aug 28 13:45:42 IST 2025","Data-Driven Login Tests with JSON","data-driven.spec.js","",""
"","9973","Login dataset #2 - user1@example.com","chromium","Thu Aug 28 16:09:05 IST 2025","passed","Thu Aug 28 16:09:15 IST 2025","Data Driven Login Tests","data-driven.spec.js","",""
"","8498","Customer login validation","chromium","Thu Aug 28 16:06:57 IST 2025","passed","Thu Aug 28 16:07:06 IST 2025","Multi-Browser Role Tests","multiBrowser.spec.js","",""
"","30090","Login dataset #1 - user1@example.com","chromium","Thu Aug 28 14:03:48 IST 2025","broken","Thu Aug 28 14:04:18 IST 2025","Data Driven Login Tests","data-driven.spec.js","",""
"","4","No test data available","webkit","Thu Aug 28 13:45:42 IST 2025","failed","Thu Aug 28 13:45:42 IST 2025","Data-Driven Login Tests with JSON","data-driven.spec.js","",""
"","60187","Admin login validation","firefox","Thu Aug 28 16:07:09 IST 2025","broken","Thu Aug 28 16:08:09 IST 2025","Multi-Browser Role Tests","multiBrowser.spec.js","",""
"","11450","Login test [2] for user2@test.com","webkit","Wed Aug 27 22:20:56 IST 2025","failed","Wed Aug 27 22:21:07 IST 2025","Data Driven Login Tests","login.spec.js","",""
"","15925","Login test [1] for user1@test.com","chromium","Wed Aug 27 22:20:37 IST 2025","failed","Wed Aug 27 22:20:53 IST 2025","Data Driven Login Tests","login.spec.js","",""
"","9679","Login check for user1@example.com","webkit","Thu Aug 28 16:09:25 IST 2025","passed","Thu Aug 28 16:09:35 IST 2025","Simple JSON Data Driven Test","simple-data-driven.spec.js","",""
"","11961","Admin login validation","chromium","Thu Aug 28 16:06:57 IST 2025","passed","Thu Aug 28 16:07:09 IST 2025","Multi-Browser Role Tests","multiBrowser.spec.js","",""
"","12019","Login check for tomsmith","firefox","Thu Aug 28 16:09:16 IST 2025","passed","Thu Aug 28 16:09:28 IST 2025","Simple JSON Data Driven Test","simple-data-driven.spec.js","",""
"","30072","Login dataset #2 - user2@example.com","chromium","Thu Aug 28 14:03:48 IST 2025","broken","Thu Aug 28 14:04:18 IST 2025","Data Driven Login Tests","data-driven.spec.js","",""
"","12817","Admin login validation","webkit","Thu Aug 28 16:07:50 IST 2025","passed","Thu Aug 28 16:08:02 IST 2025","Multi-Browser Role Tests","multiBrowser.spec.js","",""
"","60087","Customer login validation","webkit","Thu Aug 28 16:07:54 IST 2025","broken","Thu Aug 28 16:08:54 IST 2025","Multi-Browser Role Tests","multiBrowser.spec.js","",""
"","11805","Login test [1] for user1@test.com","webkit","Wed Aug 27 22:20:56 IST 2025","failed","Wed Aug 27 22:21:08 IST 2025","Data Driven Login Tests","login.spec.js","",""
"","30083","Login check for user2@example.com","chromium","Thu Aug 28 14:03:48 IST 2025","broken","Thu Aug 28 14:04:18 IST 2025","Simple JSON Data Driven Test","simple-data-driven.spec.js","",""
